ID Relave,Tp (ton),CTd (USD/km),CFdf (USD/ton),CSd  (USD),Klp (ton),KIp NO PESCAR,MCNTu (µg/m3),MCNTa (mg/l),CNT (µg/m3),alpha,beta f,DM (km),PS (USD),lambda k
0012-3N,"208,402",1500000,60,152501.25,203335,193820,20,220,0,0.17,0.8,1,100000000,1
0013-3N,"5,716,000",,15,2289954,3053272,4945886,,,,,0.3,,,4
0097-3N,"26,400",,25,13035.75,17381,14920,,,,,0.6,,,-100
0098-3N,"1,500",,,1021.5,1362,1353,,,,,,,,
0105-3N,"7,200",,,3732,4976,4009,,,,,,,,
0106-3N,"403,380",,,255672.75,340897,340897,,,,,,,,
0107-3N,"108,735",,,99351,132468,132468,,,,,,,,
0111-3N,"280,950",,,111699.75,148933,209573,,,,,,,,
0112-3N,162000,,,20.25,27,27,,,,,,,,
0115-3N,3840,,,2751,3668,3216,,,,,,,,
0116-3N,9606,,,3886.5,5182,5366,,,,,,,,
0122-3N,6075,,,2422.5,3230,3665,,,,,,,,
0123-3N,"48,975",,,24045.75,32061,46819,,,,,,,,
0124-3N,"42,300",,,18129.75,24173,34580,,,,,,,,
0125-3N,"4,200",,,2505.75,3341,2966,,,,,,,,
0126-3N,"100,000",,,46241.25,61655,75655,,,,,,,,
0129-3N,"21,300,000",,,15933271.5,21244362,21244362,,,,,,,,
0133-3N,"5,976",,,3145.5,4194,5489,,,,,,,,
0134-3N,"16,137",,,11243.25,14991,9883,,,,,,,,
0135-3N,"1,827",,,988.5,1318,1311,,,,,,,,
0136-3N,"8,598",,,3639,4852,6059,,,,,,,,
0138-3N,"842,450",,,392957.25,523943,641682,,,,,,,,
0140-3N,"47,600",,,31959.75,42613,42613,,,,,,,,
0141-3N,"70,200",,,27564.75,36753,41004,,,,,,,,
0142-3N,"5,100",,,2344.5,"3,126","3,126",,,,,,,,
0144-3N,"3,600",,,2634.75,"3,513","2,832",,,,,,,,
0162-3N,"4,804,007",,,3362820,"4,483,760","2,789,577",,,,,,,,
0163-3N,"2,403,100",,,1058093.25,"1,410,791","1,244,012",,,,,,,,
0164-3N,"4,673,812",,,2918037.75,"3,890,717","4,532,316",,,,,,,,
0165-3N,"297,054",,,160611.75,"214,149","196,085",,,,,,,,
0166-3N,"2,700",,,1452,"1,936","1,941",,,,,,,,
0167-3N,"773,398",,,414924.75,"553,233","540,230",,,,,,,,
0168-3N,"4,140",,,1818.75,"2,425","3,069",,,,,,,,
0169-3N,"6,414",,,3695.25,"4,927","3,851",,,,,,,,
0170-3N,"12,633",,,5705.25,"7,607","12,549",,,,,,,,
0174-3N,3051,,,2046,"2,728","2,352",,,,,,,,
0175-3N,"1,687",,,987.75,"1,317","1,374",,,,,,,,
0176-3N,"2,262,360",,,1365234.75,"1,820,313","1,694,203",,,,,,,,
0177-3N,"4,196,565",,,2927766,"3,903,688","3,627,587",,,,,,,,
0178-3N,452829,,,288546,"384,728","358,877",,,,,,,,
0180-3N,"7,177",,,3476.25,"4,635","5,313",,,,,,,,
0181-3N,"262,500",,,178449,"237,932","135,261",,,,,,,,
0182-3N,"4,800",,,3102.75,"4,137","2,780",,,,,,,,
0183-3N,"4,640",,,2682,"3,576","3,667",,,,,,,,
0184-3N,"22,800",,,11731.5,"15,642","17,049",,,,,,,,
0185-3N,"13,128",,,6012.75,"8,017","12,123",,,,,,,,
0186-3N,"8,400",,,4005,"5,340","6,178",,,,,,,,
0187-3N,"15,956",,,10779,"14,372","13,739",,,,,,,,
0188-3N,750,,,513,684,699,,,,,,,,
0189-3N,"18,000",,,8048.25,"10,731","17,289",,,,,,,,
0190-3N,900,,,357,476,578,,,,,,,,
0191-3N,"12,462",,,5453.25,"7,271","11,780",,,,,,,,
0192-3N,"50,721",,,35903.25,"47,871","26,355",,,,,,,,
0193-3N,"316,192",,,118812.75,"158,417","295,033",,,,,,,,
0194-3N,"6,450",,,3246.75,"4,329","3,806",,,,,,,,
0195-3N,"106,500",,,60921,"81,228","83,375",,,,,,,,
0197-3N,4500,,,2776.5,"3,702","4,423",,,,,,,,
0198-3N,3750,,,1657.5,"2,210","2,289",,,,,,,,
0199-3N,"420,743",,,238992,318656,318656,,,,,,,,
0201-3N,"21,960",,,12202.5,16270,16430,,,,,,,,
0229-3N,"30,000",,,20400.75,27201,20651,,,,,,,,
0230-3N,"7,800",,,3341.25,4455,6360,,,,,,,,
0231-3N,"4,200",,,2716.5,3622,2285,,,,,,,,
0234-3N,"100,800",,,58156.5,77542,53488,,,,,,,,
0235-3N,"72,000",,,40746,54328,71414,,,,,,,,
0236-3N,"367,740",,,242104.5,322806,192462,,,,,,,,
0252-3N,"8,824",,,5280.75,7041,7865,,,,,,,,
0253-3N,"10,500",,,6390.75,8521,7928,,,,,,,,
0255-3N,"31,902",,,15741.75,20989,24960,,,,,,,,
0257-3N,"40,950",,,19404,25872,34382,,,,,,,,
0261-3N,,,,0,0,0,,,,,,,,
0262-3N,40800,,,21289.5,28386,33713,,,,,,,,
0263-3N,,,,0,0,0,,,,,,,,
0670-3N,52680,,,23742.75,31657,49707,,,,,,,,
0807-3N,,,,0,0,0,,,,,,,,
0808-3N,,,,0,0,0,,,,,,,,
0812-3N,,,,0,0,0,,,,,,,,
